id,title,department,location,required_skills,preferred_skills,education,experience_required,responsibilities,employment_type,company_name,industry,salary_range,job_posted_date,application_deadline,work_mode
1000,Software Engineer,Mobile Apps,"Lalitpur, Bagmati Province, Nepal","['django', 'firebase', 'microservices', 'react', 'rest apis', 'scala', 'tdd']","['scala', 'django', 'react']",bim,2,"Work on software engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Contract,AppWorks Nepal,Software Services,"NPR 1,015,448–1,547,250",2025-08-08,2025-09-03,Hybrid
1001,Data Engineer,Data Science,"Pokhara, Province No. 1, Nepal","['angular', 'digitalocean', 'heroku', 'javascript', 'laravel', 'microservices', 'monolithic apps', 'mysql', 'scaling']","['javascript', 'laravel', 'angular']",bachelor of computer applications,7,"Work on data engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Part-time,CodeWave,IT Consulting,"NPR 1,336,501–1,689,995",2025-08-06,2025-09-03,Onsite
1002,Mobile Developer,Data Science,"Kathmandu, Lumbini Province, Nepal","['angular', 'ci/cd', 'digitalocean', 'grpc', 'mongodb', 'node.js', 'python', 'scala', 'security best practices', 'sqlite', 'unit testing']","['angular', 'scala', 'python']",master of technology,5,"Work on mobile developer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Full-time,TechNepal Ltd,Mobile Development,"NPR 912,505–1,630,315",2025-08-10,2025-09-06,Hybrid
1003,Frontend Engineer,Mobile Apps,"Bara, Lumbini Province, Nepal","['azure', 'cockroachdb', 'fastapi', 'graphql apis', 'java', 'mongodb', 'nuxt.js', 'redis', 'scala', 'tdd', 'unit testing']","['cockroachdb', 'nuxt.js', 'fastapi']",master of technology,0,"Work on frontend engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Part-time,TechNepal Ltd,IT Consulting,"NPR 1,340,860–1,987,372",2025-08-10,2025-08-27,Hybrid
1004,Product Engineer,Development,"Biratnagar, Madhesh Province, Nepal","['.net core', 'aws', 'ci/cd', 'graphql apis', 'javascript', 'mongodb', 'react', 'rust', 'unit testing']","['rust', 'javascript', '.net core']",master of business administration (technology),13,"Work on product engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Contract,CodeWave,Data Analytics,"NPR 825,637–1,425,130",2025-08-05,2025-08-21,Hybrid
1005,Product Engineer,Frontend Team,"Lalitpur, Sudurpashchim Province, Nepal","['azure', 'gcp', 'go', 'integration testing', 'node.js', 'performance tuning', 'redis', 'rest apis', 'scala', 'vue']","['gcp', 'node.js', 'go']",diploma in it,5,"Work on product engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Full-time,DataSphere,IT Consulting,"NPR 1,303,175–1,697,453",2025-08-09,2025-09-01,Onsite
1006,QA Engineer,Frontend Team,"Mahendranagar, Karnali Province, Nepal","['.net core', 'ci/cd', 'cockroachdb', 'dynamodb', 'heroku', 'microservices', 'next.js', 'ruby', 'security best practices', 'sqlite']","['cockroachdb', 'dynamodb', 'sqlite']",master of business administration (technology),13,"Work on qa engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Full-time,TechNepal Ltd,Web Development,"NPR 1,016,954–1,537,845",2025-08-09,2025-09-07,Onsite
1007,Mobile Developer,Backend Team,"Bara, Gandaki Province, Nepal","['azure', 'cockroachdb', 'elasticsearch', 'fastapi', 'graphql apis', 'mysql', 'rest apis', 'rust', 'svelte', 'unit testing', 'vue']","['azure', 'mysql', 'cockroachdb']",bachelor of engineering in computer engineering,7,"Work on mobile developer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Part-time,SoftVision,Web Development,"NPR 1,295,265–2,082,938",2025-08-04,2025-08-30,WFH
1008,QA Engineer,Data Science,"Chitwan, Sudurpashchim Province, Nepal","['angular', 'azure', 'integration testing', 'node.js', 'performance tuning', 'php', 'scala', 'security best practices', 'sqlite', 'vue']","['sqlite', 'scala', 'php']",bim,6,"Work on qa engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Full-time,CodeWave,Web Development,"NPR 1,080,831–1,550,603",2025-08-08,2025-08-27,WFH
1009,Data Scientist,Frontend Team,"Chitwan, Lumbini Province, Nepal","['dynamodb', 'firebase', 'microservices', 'node.js', 'performance tuning', 'python', 'security best practices', 'sqlite', 'svelte', 'typescript']","['dynamodb', 'python', 'sqlite']",master of business administration (technology),9,"Work on data scientist tasks, collaborate with teams, maintain code quality, and deliver features on time.",Full-time,AppWorks Nepal,Software Services,"NPR 802,730–1,348,440",2025-08-02,2025-08-22,WFH
1010,Backend Engineer,Frontend Team,"Dharan, Gandaki Province, Nepal","['cockroachdb', 'firebase', 'integration testing', 'laravel', 'performance tuning', 'postgresql', 'ruby on rails', 'security best practices', 'svelte', 'typescript']","['postgresql', 'svelte', 'typescript']",bachelor of science in computer science,14,"Work on backend engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Part-time,CodeWave,Web Development,"NPR 1,366,619–1,961,598",2025-08-10,2025-08-31,Onsite
1011,Data Scientist,Mobile Apps,"Pokhara, Madhesh Province, Nepal","['aws', 'ci/cd', 'cockroachdb', 'fastapi', 'firebase', 'flutter', 'integration testing', 'monolithic apps', 'nuxt.js', 'php', 'security best practices']","['aws', 'firebase', 'flutter']",master of business administration (technology),6,"Work on data scientist tasks, collaborate with teams, maintain code quality, and deliver features on time.",Full-time,DataSphere,Web Development,"NPR 1,474,375–1,688,153",2025-08-03,2025-08-22,WFH
1012,Engineering Manager,Frontend Team,"Nepalgunj, Gandaki Province, Nepal","['angular', 'express.js', 'gcp', 'microservices', 'mongodb', 'prisma', 'rabbitmq', 'ruby', 'scala', 'tdd', 'unit testing']","['ruby', 'express.js', 'gcp']",master of science in it,5,"Work on engineering manager tasks, collaborate with teams, maintain code quality, and deliver features on time.",Contract,SoftVision,IT Consulting,"NPR 1,109,230–1,395,243",2025-08-01,2025-08-17,Onsite
